frac,total_280,large_280,small_280,mab_280,lmw1_280,lmw2_280,lmw3_280,total_254,large_254,small_254,mab_254,lmw1_254,lmw2_254,lmw3_254,dilution_factor,akta_name,volume_midpoint_ml
A01,-0.00313160417699594,-0.04004255889267562,-0.0273651416721303,0.004001517971884395,-0.011935506101343297,-0.0054953063462758675,-0.0014415662272919863,-0.1004778779910231,-0.15531816022790937,-0.13193682453295777,-0.002648853391557817,-0.08068379256797638,-0.1916270857432954,-0.017030450236350955,1.0,1.A.1,0.10220499999999966
A02,0.04183736706253417,0.01045097830173329,0.02241036574252921,0.055241204216044844,0.06276900685613715,0.03380167819491626,0.03578560076291678,-0.053635868729767056,-0.09539739120388536,-0.0724670073672662,0.05025090846478514,0.01455403343510239,-0.14384125146783988,0.021749491958879742,1.0,1.A.2,0.30218049999999996
A03,0.3092180140723443,0.018153713557390237,0.1266186422120053,0.3440523906638125,0.3434911572021369,0.2909775243614229,0.2987523723564663,0.2442954433661294,-0.0054358105484061114,0.09905520212648344,0.34347244437161917,0.34011872463028997,0.17452792088672373,0.2915118550429089,1.0,1.A.3,0.50197
A04,0.6083315196504114,0.015937339685108947,0.25547739450662477,0.6158398805853454,0.6066406305157018,0.6030409781040716,0.6267177800859484,0.582995801648026,-0.01754816457643914,0.2470291045204454,0.6166289236145868,0.611866017509459,0.5537534932701356,0.6245535223268448,1.0,1.A.4,0.7020545
A05,0.7841553353998695,0.035580155519846,0.3687615981180945,0.7755225447920595,0.7692590396707087,0.7882219106010374,0.8154938344195156,0.7813551299436714,-0.023579461791126487,0.4004531279596518,0.7785350255009517,0.796239261358166,0.7752962126532668,0.8171772404697437,1.0,1.A.5,0.9021299999999997
A06,0.8737528251633324,0.06217058812781751,0.4469801287633749,0.8630831028818515,0.8557497013805416,0.8818051989131994,0.9065225924885528,0.8823232685633201,0.02183933753627148,0.4984515636211718,0.8680531625948398,0.9009937687185346,0.8856637701672351,0.9108172503380547,1.0,1.A.6,1.1022514999999995
A07,0.9209490711326512,0.11174568388453159,0.5164936234182441,0.9147019041794309,0.9050367808936829,0.9269286955516317,0.9497972034329509,0.9328772864230224,0.07186679609648583,0.5664801752165793,0.9209044210001264,0.9603605095646277,0.9378056236679817,0.9554966595150725,1.0,1.A.7,1.3023809999999996
A08,0.9500627966389171,0.16549701732909278,0.5725461393412263,0.9500722858248603,0.9348884467454108,0.9523475098874595,0.9748224654830809,0.9641454754574967,0.19661763215574982,0.6705955120688257,0.9579895915927064,1.000256188623978,0.9660204286124205,0.9807420895586841,1.0,1.A.8,1.5021299999999997
A09,0.9656952099609006,0.20653105526367296,0.6099306644624486,0.9712019269344887,0.9496592989039467,0.9664255080393904,0.9852696118277056,0.9805762314369477,0.21982617703372165,0.7025940626111178,0.9794851384200943,1.0154633470431824,0.9817736178126281,0.992704615839022,1.0,1.A.9,1.702203
A10,0.97692788574958,0.2425342004118776,0.6424066953820947,0.9865920218533425,0.9589266203743702,0.976528696907874,0.9931421764405413,0.9935984438925656,0.30021884801154364,0.7747311091171128,0.9973301781122738,1.039800748653443,0.9934915087172191,1.0011673879655836,1.0,1.A.10,1.9023264999999996
A12,0.9769719532864961,0.2970121426926931,0.6818374953600158,0.9885338605317522,0.9703525304752936,0.9669112236324108,0.9959792316381798,0.985535343639586,0.2767340028786987,0.7561404781188638,0.9953125169115427,1.019910623830603,0.9805905729287773,1.0034075499995472,1.0,1.A.12,2.3025304999999996
B02,0.9925735409616239,0.3622818398559751,0.7246583991524377,1.0077343816354123,0.9777266594321277,0.9912406867577923,1.001116422179887,1.00062667538133,0.335251937896831,0.7817707338559112,1.0144977081503155,1.0170643968587134,1.005927624063184,1.0057612671429765,1.0,1.B.2,2.7027275
B04,0.9972548442253648,0.42139589308253445,0.7601500240708375,1.0110681419063015,0.9847129537432565,0.997010018170192,1.0031436619196281,1.0118638078201814,0.5043599131487607,0.9143189968771908,1.0218366585183232,1.0723420486967907,1.0131780258151466,1.0099443818125482,1.0,1.B.4,3.102556
B06,0.9977387312787731,0.4523895890414022,0.773265437317279,1.0123371418471943,0.9813764720402128,0.9989802329283963,1.002887480348784,1.014867867560868,0.5660680187341995,0.9424595380933564,1.0240272255198428,1.0771377841712244,1.0162480674137755,1.011184726931632,1.0,1.B.6,3.5027955000000004
B08,1.0009136389518707,0.4901300633566696,0.7965844834162923,1.0141865631893434,0.9855186839291266,1.0024843359852682,1.0047960040618384,1.0178304091720727,0.5660487701046591,0.9363340957137987,1.0251349694108682,1.0758482592089398,1.0196000792859303,1.0143111158056586,1.0,1.B.8,3.902955499999999
B10,0.9695662591053095,0.48211050267556155,0.7730087971899672,0.981722672078812,0.9590200847647882,0.968085293350934,0.9749948210467623,0.9858708158785803,0.5718566821616247,0.9250501701907969,0.9930374852745766,1.0528885254174885,0.9837320061318297,0.9854639881151146,1.0,1.B.10,4.302880999999999
B12,0.9967314939938106,0.5240513505906036,0.8080097781876727,1.008335429747689,0.9832077194571174,0.9980895476820055,1.0006407933992658,1.0135252380741242,0.6371164542397769,0.9768470215615145,1.0196626101224557,1.083538181328121,1.013113882682399,1.0100538224756366,1.0,1.B.12,4.7030259999999995
C02,0.9997436770862157,0.5465538993069325,0.8225435597910272,1.0102077595128887,0.9908691613771603,0.997610253484103,1.0067449254623544,1.0169406305106872,0.6973330124898828,1.0069979841265329,1.0225648119838429,1.089617921861019,1.012556800777543,1.0175595949929528,1.0,1.C.2,5.103280999999999
C04,0.9996490261403455,0.5599383119688278,0.8272284891135114,1.00990416844403,0.9902673586915385,0.9982306283383445,1.0067556717379575,1.0157636052345027,0.6673347309391473,0.9937287404516303,1.0209926314749502,1.086691682724216,1.0125811405573681,1.0175117359940267,1.0,1.C.4,5.503100999999999
C06,0.9917239891156225,0.5684569460465329,0.8310652851776399,1.000309973322559,0.9877930999702138,0.985648119205033,1.002120752738652,1.010527896046087,0.744792330452468,1.0426323799414734,1.014738818377188,1.1086209169562755,1.0003587378836722,1.015828333473902,1.0,1.C.6,5.903340999999999
C08,0.9968457648127658,0.5900751718082111,0.84503366819502,1.004999285132226,0.9902881070673941,0.9951383012329666,1.0039153719333347,1.009218100064071,0.6590485367862663,0.968126205441612,1.0147429790633602,1.0666858627527447,1.0081955635096114,1.0130997114192506,1.0,1.C.8,6.303500999999999
C10,1.001898325090512,0.6107933535652043,0.8571956999687304,1.0101936405793661,0.9973361911281287,0.99870444578864,1.009493908556252,1.012216236351388,0.6965784117800837,0.9792754350908731,1.0181703382604235,1.0639359020121333,1.0100771942649922,1.0172472195792912,1.0,1.C.10,6.703405999999999
C12,1.0016849236685983,0.6143382058131576,0.8590227880217083,1.0092497059585996,0.997379237422054,0.9981482339340974,1.010642504633593,1.0146401684326813,0.7403771632485979,1.0218651187114633,1.0185957170429847,1.0740233212031816,1.0100721013033638,1.0196791337065032,1.0,1.C.12,7.103571
D02,0.9937803233750218,0.6195811316178526,0.862544936203908,1.000791030283322,0.9955623484976913,0.9831891195591048,1.0076374777086958,1.0011788910012935,0.6933631971292699,0.980539207410802,1.0082639362764072,1.0424621438227166,0.9931590267185226,1.0168334459450934,1.0,1.D.2,7.503781
D04,0.9911496672019796,0.6132656465406999,0.8593690954778146,1.0000328850974836,0.9909101624549552,0.9812767147726349,1.004873878489784,1.0058169333066695,0.7354733027140965,1.0354562401740441,1.0109458911442502,1.067526187208035,0.994214719680225,1.018816898560839,1.0,1.D.4,7.903971
D06,0.9982585122029051,0.6217277153186652,0.8668494662873795,1.0050220411800432,0.9992678865948107,0.9886824212616068,1.0131963849551278,1.0137592742999355,0.7369186043068038,1.0414766919394982,1.0155278725406436,1.0986571167379526,1.0011151467128032,1.0282954780746019,1.0,1.D.6,8.303851
D08,0.9980740192911535,0.6243280288511626,0.8702320278131453,1.0070285733383741,1.002608865954972,0.9846446660026388,1.0142860950110124,1.019350566056743,0.7779705888386651,1.0745413874790368,1.0210841423729393,1.11481614443995,0.9995469621658277,1.035292301857125,1.0,1.D.8,8.703721
D10,1.000208510909713,0.6774568893557303,0.8824148382534749,1.007821696359588,0.9922406297059214,1.0012241446033407,1.0048182005019908,1.0240986172386455,0.9000965028206495,1.1542205071185878,1.0238441268349796,1.1421027295218142,1.0157774020219048,1.0206313368391537,1.0,1.D.10,9.103911
D12,1.0019994168926627,0.686876859038802,0.8913136930258581,1.0076248647819244,0.9978994805341175,1.0008229950155956,1.0095369523963191,1.0160138800936096,0.8207321156692724,1.0791317325826957,1.0183604608236663,1.096305050034337,1.011671141425847,1.0210436668382383,1.0,1.D.12,9.504116
E02,0.9918793853121196,0.658206822145985,0.881199790288047,0.9975610173258851,0.9968903633076699,0.9810701705582702,1.0066367042349929,1.00657735402783,0.8397483769019506,1.1049802897579346,1.0095542344016728,1.097363454425333,0.9908131867497433,1.0219317953310134,1.0,1.E.2,9.904311
E03,0.9176845244461023,0.5567838632306629,0.7506891163075223,0.8712827388156585,0.875156197138323,0.9419063829818665,0.9585283485960638,0.938425237380518,0.683895951850432,0.9244729620386188,0.8805964509146972,0.9653706113369991,0.9393970496365314,0.9717964134342773,1.0,1.E.3,10.104076
E04,0.6339248870203612,0.32283932069789606,0.47945835470032244,0.578349887564736,0.5808058400827041,0.6683162080975952,0.6722268470582022,0.6238235058278788,0.3993726107660607,0.6049884636585382,0.5846631511641474,0.6504354270133017,0.6022308821903593,0.6783342054689889,1.0,1.E.4,10.304206
E06,0.1889422640456284,0.07967396534565882,0.14828176875364688,0.19241191646285757,0.16725339488631183,0.19867860556588543,0.18365910833922894,0.11293088150022206,0.05265343707602839,0.15283259708034905,0.19265268501859875,0.17533549338596266,0.03282990626992152,0.17853673050893995,1.0,1.E.6,10.704386
E08,0.07485853412270653,0.041483307187475685,0.07010549555495488,0.07349682592679917,0.06485200622458595,0.08413374257123936,0.0690089255366013,-0.007182148589298692,0.09122098354550523,0.11253108240782728,0.07536883355239281,0.08341774635245652,-0.09976738284397035,0.0629190296436753,1.0,1.E.8,11.104276
E10,0.037992104574932746,0.025562482113430672,0.037655930913160406,0.0374537762513221,0.035668934669739395,0.045414392058616714,0.03245098579602439,-0.04813134439969923,0.03131014775642296,0.04522796289888775,0.038078085157990396,0.05146725993694054,-0.14264258187923762,0.02623890882344801,1.0,1.E.10,11.504446
E12,0.02122887981170817,0.027243464029296373,0.030126659303848616,0.02048084163270258,0.022750884335302684,0.025847046690664507,0.016458163367040896,-0.06802774733600847,0.047009776619259966,0.049159815276639686,0.02098315994320655,0.03262869258939362,-0.16415862197806735,0.008724516206995034,1.0,1.E.12,11.904661
