resin,frac,bradford_rsd_percent,bradford_rsd
cq,a5,5.010700227,0.05010700227
cq,b12,8.286758454,0.08286758454
cq,d9,0.414491071,0.00414491071
cq,g12,5.227957631,0.05227957631
cq,eluate,9.842092978,0.09842092978
xq,a5,1.985229624,0.01985229624
xq,b12,1.796264102,0.01796264102
xq,d9,0.8788142331,0.008788142331
xq,g12,1.24367941,0.0124367941
xq,eluate,0.7607148173,0.007607148173
hq,a5,0.700728867,0.00700728867
hq,b12,1.321680844,0.01321680844
hq,d9,3.606276458,0.03606276458
hq,g12,2.896351237,0.02896351237
hq,eluate,1.309842769,0.01309842769
