label,feed,frac,elisa_ppm,elisa_stdev_ppm,elisa_rsd_percent,den_bradford_stdev_mg_ml,bradford_rsd_percent,digest_method,swath_ppm,swath_stdev_ppm,swath_rsd_percent,n_dda,n_swath
HCCF Feed,hccf,feed,400000.0,151718.6337,37.929658425,0.2410396074,4.820792148,native,37401.36722176125,2243.519419536148,5.998495740099042,1062.0,1131.0
HCCF Large agg.,hccf,large,127000.0,47085.07991,37.0748660708661,0.102268474,2.04536948,native,186442.92570084118,5343.532826930038,2.866042144985461,1709.0,1980.0
HCCF Small agg.,hccf,small,101000.0,21960.71811,21.7432852574257,0.1993415338,3.986830676,native,110588.10520693143,4574.558200641594,4.136573451621875,1390.0,1635.0
HCCF mAb,hccf,mab,162000.0,75029.08723,46.3142513765432,0.1990468622,3.980937244,native,16225.09750830336,948.776675714437,5.847586895726764,593.0,783.0
HCCF SPF 1,hccf,spf1,607000.0,88846.06283,14.6369131515651,0.1714724286,3.429448572,native,43452.69581373511,1514.7409415549857,3.48595389351237,1012.0,1161.0
HCCF SPF 2,hccf,spf2,718000.0,156156.5453,21.7488224651811,0.03484024445,6.96804889,standard,133538.06470038983,10843.772213259255,8.120360466200166,504.0,745.0
PAVIN Feed,pavin,feed,1510.0,860.3153079,56.9745237019868,0.1582329347,3.164658694,native,1553.0384513070126,58.59554415743363,3.7729615843136757,104.0,348.0
PAVIN Large agg.,pavin,large,149000.0,87284.77599,58.5803865704698,0.5478650792,10.957301584,native,87179.39637403261,9619.728583188842,11.034406044653675,1714.0,1883.0
PAVIN Small agg.,pavin,small,11200.0,,,0.5027314457,10.054628914,native,20802.78037947331,2134.85203681975,10.262339927052581,786.0,944.0
PAVIN mAb,pavin,mab,,,,0.0355384211,0.710768422,native,1.8646004309702549,0.07064305125078947,3.7886428683291666,2.0,4.0
